时间段,计划完成时间,项目内容,执行人,具体事项,完成情况,备注
"第一阶段：前期准备","2025-07-14 - 2025-08-15",,,,,
,"2025-07-20","确定日期","双方","确定婚期 (2025-09-04)",,"已确定"
,"2025-07-20","确定日期","双方","确定回门日期 (2025-09-07)",,"已确定"
,"2025-07-20","确定日期","双方","领证日期",,
,"2025-07-25","订婚","双方","订婚地点","","榆社"
,"2025-07-25","订婚","双方","订婚人员",,
,"2025-07-25","订婚","双方","彩礼三金嫁妆","","预算五万, 戒指项链手镯/手链"
,"2025-08-01","领证","双方","准备领证材料",,
,"2025-08-01","领证","双方","预约领证拍照",,
,"2025-08-05","婚纱照","新娘","确定风格预算",,
,"2025-08-05","婚纱照","新娘","选婚纱照机构",,
,"2025-08-15","婚纱照","新娘","拍摄婚纱照",,
,"2025-08-20","婚纱照","新娘","选片",,
,"2025-08-10","婚礼邀请","双方","制作朋友圈邀请视频",,
,"2025-08-10","婚礼邀请","双方","准备私信邀请文案",,
"第二阶段：婚礼冲刺","2025-08-16 - 2025-09-03",,,,,
,"2025-08-20","婚礼流程","策划/双方","确定婚礼当天流程","","开席时间 12:00"
,"2025-08-22","婚纱及礼服","新娘","选定新娘婚纱和礼服",,
,"2025-08-22","婚纱及礼服","新郎","选定新郎礼服",,
,"2025-08-25","宾客事宜","女方","确定女方宾客人数",,
,"2025-08-25","宾客事宜","女方","安排女方宾客住宿",,
,"2025-08-25","宾客事宜","女方","安排女方宾客交通",,
,"2025-08-28","婚礼布置","双方","确定婚礼布置风格",,
,"2025-08-28","婚礼布置","双方","确定是否自己搭建",,
,"2025-08-28","婚礼布置","双方","确定男方室外布置",,
,"2025-08-28","婚礼布置","双方","确定男方室内布置",,
,"2025-08-28","婚礼布置","双方","确定女方布置",,
,"2025-09-01","婚礼车辆","双方","确定是否需要婚车",,
,"2025-09-01","婚礼人员","新娘","确定跟妆",,
,"2025-09-01","婚礼人员","双方","确定摄影",,
,"2025-09-01","婚礼人员","双方","确定摄像",,
"第三阶段：婚礼当天","2025-09-04",,,,,
,"-","婚礼当天","全体","享受婚礼！",,
